"APW","Apia Airports","APW  FGI"
"BER","Berlin Airports","SXF  THF  TXL"
"BHZ","Belo Horizonte Airports","CNF  PLU"
"BUE","Buenos Aires Airports","AEP  EZE"
"BUH","Bucharest Airports","BBU  OTP"
"CHI","Chicago Airports","MDW  ORD  PWK  RFD"
"DFW","Dallas Area Airports","DAL  DFW"
"EAP","Mulhouse/Basel Airports","BSL  MLH"
"GLA","Glasgow Airports","GLA  PIK"
"HOU","Houston Area Airports","HOU  IAH"
"KIN","Kingston Area Airports","KIN  KTP"
"LAX","Los Angeles Area Airports","BUR  LAX  LGB  ONT  SNA"
"LON","London Area Airports","LCY  LGW  LHR  LTN  STN"
"MIA","Miami Area Airports","FLL  MIA  MPB  PBI"
"MIL","Milan Airports","BGY  LIN  MXP"
"MMA","Malmo Airports","MMX"
"MOW","Moscow Airports","BKA  DME  SVO  VKO"
"NYC","New York City Area Airports","EWR  JFK  LGA"
"PAR","Paris Airports","CDG  ORY"
"PTY","Panama City Airports","PAC  PTY"
"RIO","Rio De Janeiro Airports","GIG  SDU"
"ROB","Monrovia Airports","MLW  ROB"
"ROM","Rome Airports","CIA  FCO"
"SAO","Sao Paulo Airports","CGH  GRU  VCP"
"SDZ","Shetland Islands Airports","LSI  LWK"
"SEA","Seattle Area Airports","BFI  KEH  LKE  SEA"
"SFO","San Francisco Bay Airports","OAK  SFO  SJC"
"SPK","Sapporo Airports","CTS  OKD"
"STO","Stockholm Airports","ARN  BMA"
"SXM","St Maarten Airports","SFG  SXM"
"TVI","Santa Cruzde Airports","TFN  TFS"
"TYO","Tokyo Airports","HND  NRT"
"WAS","Washington Area Airports","BWI  DCA  IAD"
"YMQ","Montreal Airports","YMX  YUL"
"YTO","Toronto Area Airports","YKZ  YTZ  YYZ"
"YVR","Vancouver Airports","CXH  YVR"
"YYJ","Victoria Airports","YWH  YYJ"
